"REFERENCE","ADDRESS","CATEGORY","LISTED","COUNCIL","PARISH"
"15076","LOWER TARR MILL - STEADING","C","06/09/1979","STIRLING","PORT OF MENTEITH"
"22592","ALLAN WATER HOTEL WELL HOUSE WELL ROAD","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"26393","63 HIGH STREET, BANK HOUSE AND BANK, INCLUDING BOUNDARY WALL","B","05/10/1971","STIRLING","DUNBLANE"
"24667","BRIDGE OF ARDOCH (OLD)","A","05/10/1971","STIRLING","DOUNE"
"22650","HENDERSON STREET 110-114 KELVINGROVE","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22600","CHALTON ROAD 17, 19","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22612","CHALTON ROAD 10, 12","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22645","HENDERSON STREET 96 BENARTY","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22601","CHALTON ROAD 21","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22672","KENILWORTH ROAD 31","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22673","KENILWORTH ROAD 33, 35, 37","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22695","MINE ROAD 4 MINE HOUSE","B","05/09/1973","STIRLING","BRIDGE OF ALLAN"
"22632","HENDERSON STREET 107, 109 SOUTHWOOD AND ALLANGOWAN","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22702","UNION STREET 9","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22666","KENILWORTH ROAD 17 IONA LODGE","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22682","KENILWORTH ROAD 10","C","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22684","KENILWORTH ROAD 14","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22591","ALLAN WATER HOTEL, WELL ROAD","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"24685","OLD SCHOOL HOUSE, 23 KING STREET","C","06/09/1979","STIRLING","DOUNE"
"24662","31, 33 BALKERACH STREET","B","05/10/1971","STIRLING","DOUNE"
"24655","16, 18 BALKERACH STREET","C","06/09/1979","STIRLING","DOUNE"
"22618","CHALTON ROAD 28","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"22620","CLAREMONT DRIVE 1, 3 HIGHFIELD WEST","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"24714","74, 76 MAIN STREET","C","06/09/1979","STIRLING","DOUNE"
"22653","HENDERSON STREET 126-132 (EVEN NOS)","B","03/08/1977","STIRLING","BRIDGE OF ALLAN"
"48944","THE CRESCENT, ELMSWOOD INCLUDING STABLES AND BOUNDARY WALL","C","17/10/2002","STIRLING","DUNBLANE"
"26428","124 AND 126 HIGH STREET, FORMER DUNBLANE FREE CHURCH","C","05/09/1989","STIRLING","DUNBLANE"
"48962","PERTH ROAD, ST MARY'S COTTAGE INCLUDING BOUNDARY WALL","C","17/10/2002","STIRLING","DUNBLANE"
"41398","PARK TERRACE, 10, 11","B","03/02/1978","STIRLING","STIRLING"
"41499","UPPER BRIDGE STREET 48 (E SIDE)","C","03/02/1978","STIRLING","STIRLING"
"41500","UPPER BRIDGE STREET 50 (E SIDE)","C","03/02/1978","STIRLING","STIRLING"
"41313","GLEBE CRESCENT 8, 10","C","03/02/1978","STIRLING","STIRLING"
"41315","GLEBE CRESCENT 16","C","03/02/1978","STIRLING","STIRLING"
"41154","ABERCROMBY PLACE 1","C","03/02/1978","STIRLING","STIRLING"
"41391","PARK PLACE 39, 41","C","03/02/1978","STIRLING","STIRLING"
"41445","QUEEN STREET 20, 22 (N. SIDE)","B","04/11/1965","STIRLING","STIRLING"
"41164","ABERCROMBY PLACE 10","C","03/02/1978","STIRLING","STIRLING"
"41225","BALMORAL PLACE 2, 4","C","03/02/1978","STIRLING","STIRLING"
"41269","CLIFFORD ROAD LIME GROVE HOTEL","C","03/02/1978","STIRLING","STIRLING"
"41376","PARK AVENUE 2","C","03/02/1978","STIRLING","STIRLING"
"41175","ALBERT PLACE 8","B","04/11/1965","STIRLING","STIRLING"
"41310","GLEBE CRESCENT 7 SYHA OFFICES","C","03/02/1978","STIRLING","STIRLING"
"41137","STIRLING CASTLE FOREWORK (1500-1510)","A","04/11/1965","STIRLING","STIRLING"
"41138","STIRLING CASTLE PALACE (1539-42)","A","04/11/1965","STIRLING","STIRLING"
"41146","STIRLING CASTLE, MARRIED QUARTERS ON KING`S STABLES LANE AND BARN ROAD","C","04/11/1965","STIRLING","STIRLING"
"41191","ALLAN PARK 1-9 (E. SIDE) (ODD NOS.)","B","04/11/1965","STIRLING","STIRLING"
"41190","ALBERT PLACE 27","B","04/11/1965","STIRLING","STIRLING"
"41083","CHURCH OF THE HOLY ROOD ST JOHN STREET","A","04/11/1965","STIRLING","STIRLING"
"41084","CHURCH OF THE HOLY-ROOD CHURCHYARD","A","04/11/1965","STIRLING","STIRLING"
"41195","ALLAN PARK 19 (E. SIDE)","B","04/11/1965","STIRLING","STIRLING"
"41196","ALLAN PARK 21 ALLAN PARK HOUSE","B","03/02/1978","STIRLING","STIRLING"
"41256","CASTLE WYND THE PORTCULLIS HOTEL FORMERLY OLD GRAMMAR SCHOOL","B","04/11/1965","STIRLING","STIRLING"
"41475","SNOWDON PLACE 15 RACC/REME OFFICERS MESS.","B","03/02/1978","STIRLING","STIRLING"
"41477","SNOWDON PLACE 14","B","03/02/1978","STIRLING","STIRLING"
"41467","91, ST. MARYS WYND ,SETTLE INN","C","03/02/1978","STIRLING","STIRLING"
"41511","VICTORIA PLACE 22, 23","C","03/02/1978","STIRLING","STIRLING"
"41355","MELVILLE TERRACE 8, 9","B","04/11/1965","STIRLING","STIRLING"
"41393","PARK PLACE 8 ASHFIELD HOUSE","C","03/02/1978","STIRLING","STIRLING"
"41290","FORTH PLACE 17, 19","B","03/02/1978","STIRLING","STIRLING"
"41384","PARK PLACE 11, 13","B","03/02/1978","STIRLING","STIRLING"
"41330","KING STREET 33, 35","C","03/02/1978","STIRLING","STIRLING"
"41381","PARK AVENUE 9, 26 AND 28 CLARENDON PLACE","C","03/02/1978","STIRLING","STIRLING"
"41482","3 SOUTHFIELD CRESCENT AND 21,23 DRUMMOND PLACE","C","03/02/1978","STIRLING","STIRLING"
"41289","FORTH PLACE 13, 15","B","03/02/1978","STIRLING","STIRLING"
"41436","QUEEN STREET 15, 17 (S. SIDE)","B","04/11/1965","STIRLING","STIRLING"
"41441","QUEEN STREET 2, 4 (N. SIDE) AND 1, 3, 5 COWANE STREET ROYAL HOTEL","B","04/11/1965","STIRLING","STIRLING"
"41419","PORT STREET 65, 67","C","03/02/1978","STIRLING","STIRLING"
"41421","PORT STREET 75-81","C","03/02/1978","STIRLING","STIRLING"
"41274","DALGLEISH COURT (OFF BAKER STREET) YOUTH HOUSE, STIRLING AND DISTRICT BN BB","B","04/11/1965","STIRLING","STIRLING"
"41517","VICTORIA SQUARE 5, 7","C","03/02/1978","STIRLING","STIRLING"
"41513","VICTORIA PLACE 26, 27","C","03/02/1978","STIRLING","STIRLING"
"41494","UPPER BRIDGE STREET 30 (E SIDE)","C","03/02/1978","STIRLING","STIRLING"
"41495","UPPER BRIDGE STREET 32 (E SIDE)","C","03/02/1978","STIRLING","STIRLING"
"41432","PRINCES STREET 10, 12","C","03/02/1978","STIRLING","STIRLING"
"41295","GLADSTONE PLACE 1, 3","C","03/02/1978","STIRLING","STIRLING"
"41402","PARK TERRACE, 22, 23, 24","B","03/02/1978","STIRLING","STIRLING"
"41339","KING STREET 26, 28","B","28/10/1976","STIRLING","STIRLING"
"41361","MELVILLE TERRACE 19","B","04/11/1965","STIRLING","STIRLING"
"41364","MURRAY PLACE 3, 5, 7","B","03/02/1978","STIRLING","STIRLING"
"41369","NORTH STREET, 1 MAPLE COTTAGE CAMBUSKENNETH","C","03/02/1978","STIRLING","STIRLING"
"41490","UPPER BRIDGE STREET 11 (W SIDE) MANSE","B","04/11/1965","STIRLING","STIRLING"
"41488","TORBREX TORBREX INN TORBREX VILLAGE","C","03/02/1978","STIRLING","STIRLING"
"49577","52, 54, 56 PORT STREET","B","21/11/2003","STIRLING","STIRLING"
"15298","GARTUR HOUSE","B","05/09/1973","STIRLING","ST NINIAN'S"
"41208","27 AND 29 BAKER STREET","C","03/02/1978","STIRLING","STIRLING"
"41214","4 AND 6 BAKER STREET","C","03/02/1978","STIRLING","STIRLING"
"41217","14 BAKER STREET","C","03/02/1978","STIRLING","STIRLING"
"41240","16 BOW STREET (PART, WITHIN CLOSE), MOIR OF LECKIE'S HOUSE","A","04/11/1965","STIRLING","STIRLING"
"45388","10 BROAD STREET","C","26/03/1998","STIRLING","STIRLING"
"41090","53 BAKER STREET AND 1 BANK STREET","B","15/09/1993","STIRLING","STIRLING"
"41227","5 BANK STREET AND 52 SPITTAL STREET","C","04/11/1965","STIRLING","STIRLING"
"44111","52 HENDERSON STREET, WITH RAILINGS","C","25/04/1997","STIRLING","BRIDGE OF ALLAN"
"41252","26 BROAD STREET WITH GATEPIERS","B","04/11/1965","STIRLING","STIRLING"
"41243","39 AND 39A BROAD STREET","B","04/11/1965","STIRLING","STIRLING"
"43574","33 SPITTAL STREET, FORTH VALLEY HEALTH BOARD AND DISTRICT LIBRARY (FORMERLY OLD INFIRMARY)","B","04/11/1965","STIRLING","STIRLING"
"41464","39 AND 41 ST JOHN STREET, BRUCE OF AUCHENBOWIE'S HOUSE","A","04/11/1965","STIRLING","STIRLING"
"41104","31 ST JOHN STREET, STIRLING OLD TOWN JAIL (FORMER MILITARY PRISON) WITH BOUNDARY WALLS, GATEPIERS AND GATES","A","04/11/1965","STIRLING","STIRLING"
"41463","35 AND 37 ST JOHN STREET","C","04/11/1965","STIRLING","STIRLING"
"45371","62 BAKER STREET","C","26/03/1998","STIRLING","STIRLING"
"52198","WELL HOUSE, OFF MINE ROAD, BRIDGE OF ALLAN","B","17/04/2014","STIRLING","BRIDGE OF ALLAN"
"51844","BOQUHAN, PRINCE'S WELL","C","18/11/2011","STIRLING","KIPPEN"
"51843","BOQUHAN, WEST LODGE AND WEST GATEPIERS AND QUADRANT WALLS","B","18/11/2011","STIRLING","KIPPEN"
"51147","SPITTAL GLEN, BALLEWAN AQUEDUCT BRIDGE (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","STRATHBLANE"
"50317","AUCHLYNE, AUCHLYNE FARM, GRANARY","B","04/05/2006","STIRLING","KILLIN"
"50321","CRIANLARICH, WAR MEMORIAL","C","04/05/2006","STIRLING","KILLIN"
"50324","INVERARNAN, GLEN FALLOCH FARM, FARMHOUSE INCLUDING GATEPIERS","C","04/05/2006","STIRLING","KILLIN"
"8289","INVERARNAN, DROVER'S INN STABLES AND STEADING","C","05/10/1971","STIRLING","KILLIN"
"50343","LOCHEARNHEAD, CRAGGAN, DRUIDFIELD CROFT","C","04/05/2006","STIRLING","BALQUHIDDER"
"50337","BALQUHIDDER, THE LIBRARY TEA ROOM","C","04/05/2006","STIRLING","BALQUHIDDER"
"50345","STRATHYRE, COIRE BUIDHE AND ST OLA","C","04/05/2006","STIRLING","BALQUHIDDER"
"4045","BUCHANAN CASTLE","B","05/09/1973","STIRLING","BUCHANAN"
"4087","BUCHANAN CASTLE ESTATE, DUCHESS BRIDGE OVER DOGHOUSE BURN, NS45575/88850","C","06/09/1979","STIRLING","BUCHANAN"
"4038","MILTON OF BUCHANAN, BUCHANAN PARISH CHURCH (CHURCH OF SCOTLAND) INCLUDING GRAVEYARD, BOUNDARY WALLS GATES AND GATEPIERS","B","05/09/1973","STIRLING","BUCHANAN"
"4082","MILTON OF BUCHANAN, THE OLD MILL (FORMERLY KNOWN AS BUCHANAN MILL)","C","05/09/1973","STIRLING","BUCHANAN"
"4022","LENY HOUSE INCLUDING GATEPIERS AND SUNDIAL","B","28/10/1976","STIRLING","CALLANDER"
"4062","BRIG O'TURK","B","05/10/1971","STIRLING","CALLANDER"
"8272","KILLIN, MAIN STREET, BIRCHBANK INCLUDING BOUNDARY WALLS","C","05/10/1971","STIRLING","KILLIN"
"50364","8 ANCASTER SQUARE","C","04/05/2006","STIRLING","CALLANDER"
"15066","GARTMORE CHURCH (CHURCH OF SCOTLAND) INCLUDING CHURCHYARD, BOUNDARY WALLS, GATEPIERS AND GATES","C","06/09/1979","STIRLING","PORT OF MENTEITH"
"4173","LOCHEARNHEAD, BRIAR COTTAGE","B","18/06/1990","STIRLING","COMRIE"
"4170","LOCHEARNHEAD, FORMER RAILWAY VIADUCT OVER THE OGLE BURN","B","14/05/1987","STIRLING","COMRIE"
"50371","LOCH EARN, DALKENNETH INCLUDING GATEPIERS","C","04/05/2006","STIRLING","COMRIE"
"50420","MALLING, STEADING INCLUDING HORSE MILL","B","04/05/2006","STIRLING","PORT OF MENTEITH"
"15065","GARTMORE HOUSE, GARTMORE VILLAGE GATE","B","05/10/1971","STIRLING","PORT OF MENTEITH"
"50308","STRONACHLACHAR, LOCH ARKLET TO LOCH KATRINE AQUEDUCT OUTLET, WEIRS AND WATER CHANNEL WITH RAILINGS AND GATES (FORMER GLASGOW CORPORATION WATER WORKS)","B","04/05/2006","STIRLING","ABERFOYLE"
"50303","MILEPOST AT NN46135/02255","C","04/05/2006","STIRLING","ABERFOYLE"
"50306","MILEPOST NEAR NN47640/01951","C","04/05/2006","STIRLING","ABERFOYLE"
"50298","LOCH KATRINE, ROYAL COTTAGE AQUEDUCT INTAKES INCLUDING RETAINING WALLS AND RAILINGS (FORMER GLASGOW CORPORATION WATER WORKS)","A","04/05/2006","STIRLING","ABERFOYLE"
"50295","LOCH ARD, CUILVONA INCLUDING BOUNDARY WALLS, GATEPIERS AND RAILINGS","C","04/05/2006","STIRLING","ABERFOYLE"
"4154","DUCHRAY VALLEY, VALVE HOUSE, ALSO KNOWN AS BASIN HOUSE (FORMER GLASGOW CORPORATION WATER WORKS)","B","06/09/1979","STIRLING","ABERFOYLE"
"4217","LOCH ARD, DUNDARROCH","C","06/09/1979","STIRLING","ABERFOYLE"
"4156","BRIG O'MICHAEL OVER BLACK WATER","C","05/10/1971","STIRLING","ABERFOYLE"
"50157","WHINS OF MILTON, MILTON GROVE, MILTON MILL INCLUDING WATER WHEEL, INTERNAL WORKINGS AND LADE","B","06/10/2005","STIRLING","ST NINIAN'S"
"49004","TO SOUTH OF KEPCULLOCH TOLL, MILEPOST AT NS 5438 9189","C","30/10/2002","STIRLING","DRYMEN"
"6572","FINNICH MALISE, ENTRANCE LODGE AND GATEWAY","C","05/11/1992","STIRLING","DRYMEN"
"48989","AUCHENECK HOUSE","C","30/10/2002","STIRLING","DRYMEN"
"48990","AUCHENECK HOUSE, ENTRANCE GATEWAY","C","30/10/2002","STIRLING","DRYMEN"
"4169","STATION ROAD, 1-4 (INCLUSIVE NOS)  THE OLD MANSE","B","05/09/1973","STIRLING","BALFRON"
"49010","BALLINDALLOCH, NOS 1 AND 2 OLD STABLES AND BALLINDALLOCH COTTAGE","C","30/10/2002","STIRLING","BALFRON"
"49007","BALFRON, BUCHANAN STREET, MILEPOST AT 92 BUCHANAN STREET","C","30/10/2002","STIRLING","BALFRON"
"26420","STIRLING ROAD, FORMERLY THE RAILWAY HOTEL","C","28/10/1976","STIRLING","DUNBLANE"
"26426","SPRINGBANK GARDENS, 1-12 (INCLUSIVE), 14-30 (INCLUSIVE) SPRINGBANK MILL INCLUDING FORMER SCHOOL HOUSE","B","05/10/1971","STIRLING","DUNBLANE"
"26403","SMITHY LOAN, WOODEND INCLUDING BOUNDARY WALL","C","28/10/1976","STIRLING","DUNBLANE"
"26383","3 SINCLAIR STREET","C","28/10/1976","STIRLING","DUNBLANE"
"41469","19 ST NINIANS ROAD, LANGGARTH LODGE","B","04/11/1965","STIRLING","STIRLING"
"41526","1-10 (INCLUSIVE NOS) VIEWFIELD PLACE WITH BOUNDARY WALLS","B","03/02/1978","STIRLING","STIRLING"
"171","ARNHALL CASTLE","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3923","KEIR, BAIRNSBURN","C","06/09/1979","STIRLING","DUNBLANE AND LECROPT"
"3926","SHERIFFMUIR, MACRAE MEMORIAL","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3929","KIPPENROSS SUNDIAL","C","06/09/1979","STIRLING","DUNBLANE AND LECROPT"
"3908","LECROPT SCHOOL","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3940","KEIR HOUSE, ARCHWAY SOUTH OF, CARRYING WEST DRIVE","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3941","KEIR HOUSE, LOWER GLEN SECTION","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3921","KEIR, SOUTH LODGE","A","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3986","QUEEN VICTORIA SCHOOL, DUNBLANE","A","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3989","HEADMASTER'S HOUSE, DUNBLANE","C","06/09/1979","STIRLING","DUNBLANE AND LECROPT"
